更新日期,#genre#
2026-01-31,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
📺┃广东频道,#genre#
广州综合,http://r.jdshipin.com/iR6Gq$IPV4•线路1
广州综合,http://r.jdshipin.com/snhya$IPV4•线路2
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路3
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$IPV4•线路4
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701$IPV4•线路5
广州综合,http://113.95.142.43:4022/rtp/239.253.43.71:5146$IPV4•线路6
广州综合,http://113.101.245.14:9988/rtp/239.253.43.71:5146$IPV4•线路7
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路8
广州综合,http://14.117.233.31:8688/rtp/239.253.43.71:5146$IPV4•线路9
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488$IPV4•线路10
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路11
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路12
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路1
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路2
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019$IPV4•线路3
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路4
广州新闻,http://14.117.233.31:8688/rtp/239.253.43.72:5146$IPV4•线路5
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路6
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路7
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路1
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$IPV4•线路2
广东珠江,http://go.bkpcp.top/mg/gdzj$IPV4•线路3
广东珠江,https://smt.858.qzz.io/Smart.php?id=zhujiang$IPV4•线路4
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路5
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8$IPV4•线路6
